Nome,idSessao,Repeticao,Chave,Tp,Ts
Belilo,1,1,v,4917513,4917662
Belilo,1,1,i,4917824,4917930
Belilo,1,1,d,4918682,4918788
Belilo,1,1,a,4920034,4920150
Belilo,1,1,.,4921042,4921169
Belilo,1,1,n,4923102,4923229
Belilo,1,1,o,4925171,4925331
Belilo,1,1,v,4926147,4926274
Belilo,1,1,a,4926951,4927057
Belilo,1,2,v,4962259,4962451
Belilo,1,2,i,4963042,4963169
Belilo,1,2,d,4964071,4964209
Belilo,1,2,a,4964929,4965067
Belilo,1,2,.,4967385,4967523
Belilo,1,2,n,4968779,4968928
Belilo,1,2,o,4969101,4969239
Belilo,1,2,v,4970270,4970408
Belilo,1,2,a,4971236,4971352
Belilo,1,3,v,4994113,4994251
Belilo,1,3,i,4994423,4994562
Belilo,1,3,d,4995346,4995484
Belilo,1,3,a,4995839,4995999
Belilo,1,3,.,4996804,4996931
Belilo,1,3,n,5004921,5005058
Belilo,1,3,o,5005220,5005359
Belilo,1,3,v,5006003,5006141
Belilo,1,3,a,5006883,5007031
Belilo,1,4,v,5009586,5009745
Belilo,1,4,i,5010368,5010506
Belilo,1,4,d,5011676,5011825
Belilo,1,4,a,5012416,5012543
Belilo,1,4,.,5013402,5013563
Belilo,1,4,n,5017187,5017325
Belilo,1,4,o,5017487,5017647
Belilo,1,4,v,5018388,5018547
Belilo,1,4,a,5019117,5019244
Belilo,1,5,v,5022786,5022924
Belilo,1,5,i,5023504,5023653
Belilo,1,5,d,5024437,5024586
Belilo,1,5,a,5024802,5024940
Belilo,1,5,.,5026400,5026538
Belilo,1,5,n,5027751,5027899
Belilo,1,5,o,5028137,5028307
Belilo,1,5,v,5029048,5029197
Belilo,1,5,a,5029316,5029519
Belilo,1,6,v,5032824,5032962
Belilo,1,6,i,5033285,5033412
Belilo,1,6,d,5034100,5034248
Belilo,1,6,a,5034357,5034495
Belilo,1,6,.,5035440,5035546
Belilo,1,6,n,5038110,5038259
Belilo,1,6,o,5038400,5038517
Belilo,1,6,v,5039301,5039450
Belilo,1,6,a,5039633,5039772
Belilo,1,7,v,5043838,5043997
Belilo,1,7,i,5044331,5044469
Belilo,1,7,d,5045156,5045284
Belilo,1,7,a,5046604,5046764
Belilo,1,7,.,5047494,5047654
Belilo,1,7,n,5048299,5048447
Belilo,1,7,o,5048760,5048887
Belilo,1,7,v,5049617,5049766
Belilo,1,7,a,5050454,5050613
Belilo,1,8,v,5056234,5056404
Belilo,1,8,i,5056770,5056961
Belilo,1,8,d,5058218,5058388
Belilo,1,8,a,5058657,5058849
Belilo,1,8,.,5059879,5060006
Belilo,1,8,n,5060641,5060800
Belilo,1,8,o,5061166,5061315
Belilo,1,8,v,5061917,5062065
Belilo,1,8,a,5062163,5062323
Belilo,1,9,v,5065327,5065466
Belilo,1,9,i,5065778,5065937
Belilo,1,9,d,5066614,5066763
Belilo,1,9,a,5066989,5067117
Belilo,1,9,.,5067933,5068082
Belilo,1,9,n,5069584,5069722
Belilo,1,9,o,5069884,5070022
Belilo,1,9,v,5070828,5070966
Belilo,1,9,a,5071407,5071545
Belilo,1,10,v,5073885,5074023
Belilo,1,10,i,5074346,5074452
Belilo,1,10,d,5075279,5075417
Belilo,1,10,a,5075622,5075750
Belilo,1,10,.,5076459,5076586
Belilo,1,10,n,5081992,5082162
Belilo,1,10,o,5082314,5082463
Belilo,1,10,v,5083472,5083610
Belilo,1,10,a,5084769,5084897
Belilo,1,11,v,5094153,5094323
Belilo,1,11,i,5094828,5094987
Belilo,1,11,d,5095739,5095877
Belilo,1,11,a,5097112,5097261
Belilo,1,11,.,5098013,5098172
Belilo,1,11,n,5099653,5099813
Belilo,1,11,o,5099986,5100134
Belilo,1,11,v,5101112,5101271
Belilo,1,11,a,5101541,5101668
Belilo,1,12,v,5108631,5108812
Belilo,1,12,i,5109221,5109359
Belilo,1,12,d,5110293,5110463
Belilo,1,12,a,5110636,5110785
Belilo,1,12,.,5111590,5111728
Belilo,1,12,n,5112191,5112340
Belilo,1,12,o,5112502,5112640
Belilo,1,12,v,5113220,5113358
Belilo,1,12,a,5113467,5113616
Belilo,1,13,v,5116492,5116662
Belilo,1,13,i,5116953,5117091
Belilo,1,13,d,5117618,5117777
Belilo,1,13,a,5119473,5119621
Belilo,1,13,.,5120749,5120897
Belilo,1,13,n,5121392,5121520
Belilo,1,13,o,5121649,5121787
Belilo,1,13,v,5122110,5122259
Belilo,1,13,a,5123301,5123471
Belilo,1,14,v,5128857,5129006
Belilo,1,14,i,5129146,5129349
Belilo,1,14,d,5130112,5130293
Belilo,1,14,a,5130541,5130722
Belilo,1,14,.,5131495,5131654
Belilo,1,14,n,5132450,5132587
Belilo,1,14,o,5133651,5133800
Belilo,1,14,v,5134380,5134529
Belilo,1,14,a,5134701,5134893
Belilo,1,15,v,5138381,5138530
Belilo,1,15,i,5140322,5140492
Belilo,1,15,d,5140815,5140953
Belilo,1,15,a,5141287,5141468
Belilo,1,15,.,5142273,5142411
Belilo,1,15,n,5145276,5145446
Belilo,1,15,o,5145608,5145736
Belilo,1,15,v,5146542,5146680
Belilo,1,15,a,5146950,5147088
Belilo,1,16,v,5150427,5150565
Belilo,1,16,i,5150898,5151069
Belilo,1,16,d,5151778,5151938
Belilo,1,16,a,5152229,5152442
Belilo,1,16,.,5153248,5153396
Belilo,1,16,n,5155254,5155424
Belilo,1,16,o,5155564,5155724
Belilo,1,16,v,5156369,5156517
Belilo,1,16,a,5156873,5157022
Belilo,1,17,v,5172705,5172930
Belilo,1,17,i,5173198,5173326
Belilo,1,17,d,5174239,5174388
Belilo,1,17,a,5174539,5174720
Belilo,1,17,.,5175708,5175846
Belilo,1,17,n,5176148,5176275
Belilo,1,17,o,5176405,5176533
Belilo,1,17,v,5177210,5177359
Belilo,1,17,a,5177499,5177670
Belilo,1,18,v,5179559,5179687
Belilo,1,18,i,5179956,5180105
Belilo,1,18,d,5181415,5181563
Belilo,1,18,a,5181725,5181885
Belilo,1,18,.,5182798,5182947
Belilo,1,18,n,5183806,5183966
Belilo,1,18,o,5184117,5184277
Belilo,1,18,v,5184686,5184813
Belilo,1,18,a,5184943,5185092
Belilo,1,19,v,5187411,5187613
Belilo,1,19,i,5188204,5188353
Belilo,1,19,d,5189116,5189286
Belilo,1,19,a,5189512,5189694
Belilo,1,19,.,5190253,5190391
Belilo,1,19,n,5191690,5191839
Belilo,1,19,o,5191979,5192139
Belilo,1,19,v,5193020,5193190
Belilo,1,19,a,5193276,5193458
Belilo,1,20,v,5195476,5195646
Belilo,1,20,i,5195915,5196075
Belilo,1,20,d,5198597,5198778
Belilo,1,20,a,5199025,5199196
Belilo,1,20,.,5200088,5200214
Belilo,1,20,n,5201835,5201962
Belilo,1,20,o,5202157,5202295
Belilo,1,20,v,5202854,5203002
Belilo,1,20,a,5203605,5203753
Belilo,1,21,v,5205514,5205673
Belilo,1,21,i,5206125,5206252
